,,$\mathcal{B}$,$\mathcal{M}$
$\phi_1$ - StopToAvoidCollision,0,200,43
$\phi_1$ - StopToAvoidCollision,1,106,16
$\phi_1$ - StopToAvoidCollision,2,34,14
$\phi_1$ - StopToAvoidCollision,3,92,51
$\phi_1$ - StopToAvoidCollision,4,128,60
$\phi_1$ - StopToAvoidCollision,5,33,13
$\phi_1$ - StopToAvoidCollision,total,593,197
$\phi_2$ - StopForYellowRed,0,1116,333
$\phi_2$ - StopForYellowRed,1,586,70
$\phi_2$ - StopForYellowRed,2,647,60
$\phi_2$ - StopForYellowRed,3,675,102
$\phi_2$ - StopForYellowRed,4,402,274
$\phi_2$ - StopForYellowRed,5,1156,115
$\phi_2$ - StopForYellowRed,total,4582,954
$\phi_3$ - NoStopForNoReason,0,15,5
$\phi_3$ - NoStopForNoReason,1,94,69
$\phi_3$ - NoStopForNoReason,2,84,3
$\phi_3$ - NoStopForNoReason,3,154,67
$\phi_3$ - NoStopForNoReason,4,398,103
$\phi_3$ - NoStopForNoReason,5,1280,1000
$\phi_3$ - NoStopForNoReason,total,2025,1247
$\phi_4$ - AccelerateForGreen,0,50,16
$\phi_4$ - AccelerateForGreen,1,77,20
$\phi_4$ - AccelerateForGreen,2,27,2
$\phi_4$ - AccelerateForGreen,3,227,97
$\phi_4$ - AccelerateForGreen,4,36,10
$\phi_4$ - AccelerateForGreen,5,101,13
$\phi_4$ - AccelerateForGreen,total,518,158
$\phi_5$ - NoSteerRightOutRoad,0,1541,0
$\phi_5$ - NoSteerRightOutRoad,1,1089,0
$\phi_5$ - NoSteerRightOutRoad,2,636,0
$\phi_5$ - NoSteerRightOutRoad,3,2431,0
$\phi_5$ - NoSteerRightOutRoad,4,242,0
$\phi_5$ - NoSteerRightOutRoad,5,380,0
$\phi_5$ - NoSteerRightOutRoad,total,6319,0
$\phi_6$ - NoSteerLeftOutRoad,0,0,0
$\phi_6$ - NoSteerLeftOutRoad,1,0,0
$\phi_6$ - NoSteerLeftOutRoad,2,0,0
$\phi_6$ - NoSteerLeftOutRoad,3,0,0
$\phi_6$ - NoSteerLeftOutRoad,4,0,0
$\phi_6$ - NoSteerLeftOutRoad,5,0,0
$\phi_6$ - NoSteerLeftOutRoad,total,0,0
